title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; BetaseronRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Betaseron<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biologic product.",59 FR 305,94-36,https://www.federalregister.gov/documents/1994/01/04/94-36/determination-of-regulatory-review-period-for-purposes-of-patent-extension-betaseronregister,,1994-01-04, BetaseronRegister,,,Betaseron<Register>,4588585,the Cetus Oncology Corp.,3720.0,3319.0,401.0,"May 19, 1983",1983-05-19,1993-07-23,PLA 92-0495,1500
Determination of Regulatory Review Period for Purposes of Patent Extension; ImagentRegister GI,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Imagent<Register> GI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-4802,https://www.federalregister.gov/documents/1994/03/03/94-4802/determination-of-regulatory-review-period-for-purposes-of-patent-extension-imagentregister-gi,,1994-03-03, ImagentRegister GI,,,Imagent<Register> GI,3975512,the Board of Trustees of the University of Illinois,7493.0,6469.0,1024.0,"February 8, 1973",1973-02-08,1993-08-13,NDA 20-091,730
Determination of Regulatory Review Period for Purposes of Patent Extension; PirsueSUPTM Aqueous Gel,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Pirsue<SUP>TM Aqueous Gel and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-4801,https://www.federalregister.gov/documents/1994/03/03/94-4801/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pirsuesuptm-aqueous-gel,,1994-03-03, PirsueSUPTM Aqueous Gel,,,Pirsue<SUP>TM Aqueous Gel,4278789,The Upjohn Co.,3860.0,3778.0,82.0,"February 17, 1983",1993-09-10,1993-09-10,NADA 141-036,1095
Determination of Regulatory Review Period for Purposes of Patent Extension; SporanoxRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Sporanox<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-5635,https://www.federalregister.gov/documents/1994/03/11/94-5635/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sporanoxregister,,1994-03-11, SporanoxRegister,,,Sporanox<Register>,4267179,Janssen Pharmaceutica N.V.,2990.0,2155.0,835.0,"July 7, 1984",1984-07-07,1992-09-11,NDA 20-,1510
Determination of Regulatory Review Period for Purposes of Patent Extension; PRO OSTEONSUPTM Implant 500 Coralline Hydroxyapatite Bone Void Filler,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for PRO OSTEON<SUP>TM Implant 500 Coralline Hydroxyapatite Bone Void Filler and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-5672,https://www.federalregister.gov/documents/1994/03/11/94-5672/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pro-osteonsuptm-implant,,1994-03-11, PRO OSTEONSUPTM Implant 500 Coralline Hydroxyapatite Bone Void Filler,,,the PRO OSTEON<SUP>TM Implant 500 Coralline Hydroxyapatite Bone Void Filler,3929971,Research Corp. Technologies,3774.0,2049.0,1725.0,"July 2, 1982",1982-07-02,1992-10-29,PMA P860005,730
Determination of Regulatory Review Period for Purposes of Patent Extension; SupprelinRegister; Correction,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting a notice that appeared in the Federal Register of June 2, 1992 (57 FR 23237), that announced its determination of the regulatory review period for purposes of patent extension for Supprelin<Register> (histrelin acetate). The document was published with some mathematical errors. The document incorrectly stated, ``FDA has determined that the applicable regulatory review period for Supprelin<Register> is 2,876 days. Of this time, 1,930 days occurred during the testing phase of the regulatory review period, while 946 days occurred during the approval phase.'' It should have stated, ``FDA has determined that the applicable regulatory review period for Supprelin<Register> is 2,878 days. Of this time, 1,931 days occurred during the testing phase of the regulatory review period, while 947 days occurred during the approval phase.'' This document corrects those errors.",,94-9047,https://www.federalregister.gov/documents/1994/04/14/94-9047/determination-of-regulatory-review-period-for-purposes-of-patent-extension-supprelinregister,,1994-04-14, SupprelinRegister, Correction,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MycobutinSUPTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Mycobutin<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-9099,https://www.federalregister.gov/documents/1994/04/15/94-9099/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycobutinsuptm,,1994-04-15, MycobutinSUPTM,,,Mycobutin<SUP>TM,4219478,Adria Laboratories,2831.0,2124.0,707.0,"March 23, 1986",1986-03-23,1992-12-23,NDA 50-689,1392
Determination of Regulatory Review Period for Purposes of Patent Extension; MycobutinSUPTM; Correction,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting a notice that appeared in the Federal Register of April 15, 1994 (59 FR 18133), that announced its determination of the regulatory review period for purposes of patent extension for Mycobutin<SUP>TM (rifabutin). The document was published with some mathematical errors. The document incorrectly stated, ``FDA has determined that the applicable regulatory review period for Mycobutin<SUP>TM is 2,831 days. Of this time, 2,124 days occurred during the testing phase of the regulatory review period, while 707 days occurred during the approval phase.'' It should have stated, ``FDA has determined that the applicable regulatory review period for Mycobutin<SUP>TM is 2,469 days. Of this time, 2,127 days occurred during the testing phase of the regulatory review period, while 342 days occurred during the approval phase.'' This document corrects those errors.",,94-14446,https://www.federalregister.gov/documents/1994/06/14/94-14446/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycobutinsuptm-correction,,1994-06-14, MycobutinSUPTM, Correction,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RealitySUPTM Female Condom,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Reality<SUP>TM Female Condom and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-14445,https://www.federalregister.gov/documents/1994/06/14/94-14445/determination-of-regulatory-review-period-for-purposes-of-patent-extension-realitysuptm-female,,1994-06-14, RealitySUPTM Female Condom,,,the Reality<SUP>TM Female Condom,4735621,Chartex International Plc,2017.0,1460.0,557.0,"October 31, 1987",1991-10-29,1993-05-07,PMA P910064,762
Determination of Regulatory Review Period for Purposes of Patent Extension; AceonSUPTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aceon<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-17737,https://www.federalregister.gov/documents/1994/07/21/94-17737/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aceonsuptm,,1994-07-21, AceonSUPTM,,,Aceon<SUP>TM,4508729,Adir,2284.0,1367.0,917.0,"October 1, 1987",1987-10-01,1993-12-30,NDA 20-184,1588
